РАСПИСАНИЕ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       учебных занятий на 1 семестр 2025/2026 уч.год,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,«УТВЕРЖДАЮ»,
,,,,,,,, ,,,,,,,,,,,,,,,,,,,,Директор колледжа,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,                          В.П. Смирнов,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,«  »    2025г,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9ПО-11,,9ПО-12к,,9СК-11,,9ИС-11,,9ИС-12,,9И-11,,9И-12к,,9ВР-11,,9ИИ-11к,,9МР-11,,9УК-11,,9РС-11,,9ТМ-11,,9ТМ-12,
,3,ИНОСТРАННЫЙ ЯЗЫК                                   ___________________________________                                                                   МАТЕМАТИКА,715 507   ____  514,ЛИТЕРАТУРА,520,ФИЗИЧЕСКАЯ КУЛЬТУРА   ,С\з,ФИЗИЧЕСКАЯ КУЛЬТУРА   ,С/з,ОБЩЕСТВОЗНАНИЕ,616,ИНФОРМАТИКА,701,ГЕОГРАФИЯ,718,ХИМИЯ,601,ИНФОРМАТИКА,521,ОБЩЕСТВОЗНАНИЕ,722,РУССКИЙ ЯЗЫК                                                                                       ----------------                                                                                      ЛИТЕРАТУРА,710,,,                                                 ИНОСТРАННЫЙ ЯЗЫК                                                                               ,714  507,БИОЛОГИЯ,608
,,,,Ежова А.С.,,Макаров Д.Р.,,Дмитриев В.В.,,Анищенко А.Ю.,,Латыпова А.А.,,Евстафьева В.А.,,Андриенко Т.В.,,Литвинова С.В.,,Пахомова Н.Г.,,,,,,,,Баева И.Г.,
,4,ФИЗИЧЕСКАЯ КУЛЬТУРА   ,С/з,ИНФОРМАТИКА ,701,ХИМИЯ,601,ИНФОРМАТИКА,506,,,ОБЩЕСТВОЗНАНИЕ,616,ФИЗИКА ,521,ЛИТЕРАТУРА                                                                                            ,520,ГЕОГРАФИЯ,718,,,ОБЩЕСТВОЗНАНИЕ,722,,,,,ЛИТЕРАТУРА                                                                                       ----------------                                                                                      РУССКИЙ ЯЗЫК,710
,,Дмитриев В.В.,,Латыпова А.А.,,Андриенко Т.В.,,Шадрин И.Н.,,,,Анищенко А.Ю.,,Литвинова С.В.,,,,Евстафьева В.А.,,,,Пахомова Н.Г.,,,,,,,
суббота,1,,,,,РУССКИЙ ЯЗЫК ,613,ИНФОРМАТИКА,506,ЛИТЕРАТУРА,520,,,ИНФОРМАТИКА,701,РУССКИЙ ЯЗЫК ,613,МАТЕМАТИКА,713,МАТЕМАТИКА,517,,,ФИЗИКА ,609,ФИЗИКА ,722,ГЕОГРАФИЯ,718
,,,,,,,,Шадрин И.Н.,,Ежова А.С.,,,,Латыпова А.А.,,,,,,Долгова Т.В.,,,,Фролова Е.В.,,Иванова О.Л.,,Евстафьева В.А.,
,2,ИНФОРМАТИКА,701,ГЕОГРАФИЯ,718,ЛИТЕРАТУРА,520,ФИЗИКА ,609,ИНФОРМАТИКА,506,РУССКИЙ ЯЗЫК   ,613,ОСНОВЫ БЕЗОПАСНОСТИ И ЗАЩИТЫ РОДИНЫ,505,МАТЕМАТИКА,713,ФИЗИКА ,521,ФИЗИКА ,722,ИНФОРМАТИКА,422,ФИЗИЧЕСКАЯ КУЛЬТУРА   ,С\з,МАТЕМАТИКА,517,ФИЗИЧЕСКАЯ КУЛЬТУРА   ,С\з
,,Латыпова А.А.,,Евстафьева В.А.,,Ежова А.С.,,Фролова Е.В.,,Шадрин И.Н.,,Андронникова М.С.,,Осипов Д.Л.,,Маслякова А.В.,,Литвинова С.В.,,Иванова О.Л.,,Романенко Р.Н.,,Макаров Д.Р.,,Долгова Т.В.,,Червинский В.И.,
,3,ФИЗИКА ,521,ИНФОРМАТИКА,701,ФИЗИКА ,609,,,РУССКИЙ ЯЗЫК   ,613,ОСНОВЫ БЕЗОПАСНОСТИ И ЗАЩИТЫ РОДИНЫ,505,,,ФИЗИКА ,722,ФИЗИЧЕСКАЯ КУЛЬТУРА   ,С/з,ФИЗИЧЕСКАЯ КУЛЬТУРА   ,С\з,МАТЕМАТИКА,713,ИНФОРМАТИКА,422,,,МАТЕМАТИКА                                                                            ,517
,,Литвинова С.В.,,Латыпова А.А.,,Фролова Е.В.,,,,Андронникова М.С.,,Осипов Д.Л.,,,,Иванова О.Л.,,Макаров Д.Р,,Червинский В.И.,,Маслякова А.В.,,Романенко Р.Н.,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,«    »   2025г.         Зам.директора по УР                              М.Б. Шифрин ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,                   Зав.учебной частью                                              С.О. Смирнова,,,,,,,,,
